avg_value_EUR,case_vendor,case_PR_NPR,case_product_type,case_product_specific,rework_activities,payment_block,automation,avg_vendor_workload,num_items,throughput
2572.0,_other_vendor,PR,Packaging,_other_specific_type,0.0,0,0.0,5.381818181818182,1,124
238.63636363636363,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,11,214
366.57142857142856,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,5.393939393939394,7,124
1723.6666666666667,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.127450980392157,3,229
499.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,9.407407407407408,1,73
3455.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,5.151515151515151,1,124
38.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,1,0.0,2.391304347826087,1,124
324.0,vendorID_0136,PR,Packaging,Labels,0.0,0,0.0,45.34920634920635,2,156
10228.0,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,6.540983606557377,1,159
3520.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,3.3448275862068964,1,159
1406.6666666666667,_other_vendor,PR,Packaging,Containers,1.0,0,0.0,6.918918918918919,3,156
333.44444444444446,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,13.89795918367347,9,127
310.5,_other_vendor,PR,Packaging,Labels,0.0,1,0.0,11.271428571428572,2,156
3742.0,_other_vendor,PR,Packaging,Containers,0.0,0,20.0,5.641025641025641,1,193
31.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,50.0,1.0833333333333333,1,229
304.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,31.27659574468085,1,98
11799.0,_other_vendor,PR,Additives,_other_specific_type,0.0,0,0.0,6.023809523809524,1,218
22979.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.8,1,69
638.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,5.230769230769231,1,161
2778.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,1.2857142857142858,1,58
2704.3333333333335,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,50.0,4.24,3,108
1205.0,_other_vendor,_NPR,Sales,Products for Resale,1.0,0,40.0,5.2,1,199
2083.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,7.071428571428571,1,107
10545.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,0,16.666666666666664,1.0,1,234
16151.5,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,0,20.0,2.3043478260869565,2,130
3272.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,2.217391304347826,1,130
32817.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,2.1739130434782608,1,130
67.0,_other_vendor,PR,Packaging,Labels,0.0,0,40.0,20.944444444444443,4,38
2694.0,vendorID_0104,PR,Packaging,Containers,0.0,0,40.0,65.79166666666667,5,73
1193.75,vendorID_0104,PR,Packaging,Containers,0.0,1,20.0,65.79166666666667,4,73
1027.7,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,11.266666666666667,10,73
158.8,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,14.424657534246576,5,200
343.6666666666667,_other_vendor,_NPR,Sales,Products for Resale,1.0,0,20.0,2.857142857142857,3,200
108.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,29.46153846153846,8,200
2469.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,2.5357142857142856,1,101
226.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,5.321428571428571,2,200
1394.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.0588235294117645,3,199
496.6666666666667,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,12.333333333333334,3,38
183.33333333333334,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,14.5188679245283,3,233
776.6666666666666,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,5.571428571428571,3,38
85.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,9.68421052631579,4,38
107.66666666666667,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,26.35632183908046,9,200
75.66666666666667,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,3.4,3,38
329.95652173913044,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,39.25,23,38
308.25,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,1,40.0,17.263157894736842,12,199
10271.333333333334,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,7.294117647058823,3,38
732.75,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,4.074074074074074,4,200
5224.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,3.0,1,73
58.666666666666664,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,6.0,6,31
303.75,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,9.041666666666666,8,200
798.25,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,5.642857142857143,4,38
3935.0,_other_vendor,_NPR,Sales,Products for Resale,2.0,1,14.285714285714285,1.3333333333333333,1,101
512.6666666666666,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.4285714285714284,3,38
5337.5,_other_vendor,PR,Packaging,Containers,2.0,1,0.0,6.047169811320755,2,233
303.0,vendorID_0136,PR,Packaging,Labels,0.0,1,0.0,65.7127659574468,17,172
1918.5,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,2.2777777777777777,2,109
22347.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,50.0,3.0,1,14
332.1111111111111,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,49.66666666666666,9,101
3142.0,_other_vendor,PR,Packaging,Containers,1.0,0,0.0,3.1379310344827585,1,79
1668.3333333333333,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,9.7,3,109
1727.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,1.0,1,73
6397.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,1.0,1,38
3350.8,vendorID_0104,PR,Packaging,Containers,0.0,0,0.0,65.625,10,73
3493.0,_other_vendor,PR,_other_product_type,_other_specific_type,6.0,1,0.0,6.5,2,323
421.5,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,65.625,2,73
1574.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,3.5,1,59
5464.5,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,4.65,2,100
758.5,vendorID_0106,PR,Packaging,Containers,0.0,0,0.0,29.12,4,38
805.3333333333334,_other_vendor,_NPR,Sales,_other_specific_type,0.0,1,0.0,6.648148148148148,6,200
8450.0,_other_vendor,PR,Packaging,Containers,5.0,0,0.0,1.3636363636363635,1,233
631.3333333333334,_other_vendor,PR,Packaging,Labels,0.0,0,25.0,6.225352112676056,3,200
375.84615384615387,_other_vendor,PR,Packaging,Labels,0.0,0,25.0,9.05,13,200
178.0,vendorID_0120,PR,Packaging,Labels,0.0,0,25.0,62.63636363636363,1,73
44024.0,_other_vendor,PR,Packaging,Containers,3.0,0,0.0,1.0,1,136
3945.8333333333335,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,2.870967741935484,6,199
17167.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,1.2307692307692308,1,129
310.0,_other_vendor,PR,Additives,_other_specific_type,3.0,1,0.0,3.4615384615384617,1,323
1686.3333333333333,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,16.652173913043477,3,265
865.25,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,16.52173913043478,8,265
57746.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.0,1,129
58.5,_other_vendor,PR,Packaging,Labels,0.0,1,20.0,30.97959183673469,2,100
263.0882352941176,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,30.93877551020408,34,100
1177.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,2.75,1,129
47369.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,3.2666666666666666,1,73
47369.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,3.2666666666666666,1,73
223.0,vendorID_0136,PR,Packaging,Labels,0.0,0,0.0,57.21818181818182,1,233
40800.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,3.4871794871794872,1,73
40800.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,3.4871794871794872,1,73
40800.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,1,0.0,3.358974358974359,1,73
40800.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,3.4871794871794872,1,73
43893.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,16.666666666666664,3.2,1,73
3256.0,_other_vendor,PR,Packaging,_other_specific_type,1.0,0,20.0,4.267857142857143,1,233
43893.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,3.2,1,73
854.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,8.339285714285714,3,109
1161.1666666666667,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,9.491525423728811,6,109
2276.0,_other_vendor,PR,Packaging,Containers,1.0,0,0.0,5.367647058823529,1,129
389.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,1.818181818181818,1,233
720.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,5.333333333333333,1,100
982.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,5.307692307692308,1,100
103.5,vendorID_0171,PR,Additives,_other_specific_type,0.0,0,0.0,18.4,2,31
1.6666666666666667,vendorID_0171,PR,Additives,_other_specific_type,0.0,0,0.0,18.3,3,31
16.0,vendorID_0171,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,18.15,1,31
122.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,8.782608695652174,2,199
5623.0,_other_vendor,PR,Additives,Extenders,1.0,0,0.0,2.9696969696969697,1,73
2521.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,1.1111111111111112,1,73
47284.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.818181818181818,1,139
5760.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
5760.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
5760.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
5703.0,_other_vendor,PR,Additives,Extenders,0.0,0,20.0,6.675,1,73
5703.0,_other_vendor,PR,Additives,Extenders,0.0,1,0.0,6.675,1,73
5703.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
1614.6666666666667,_other_vendor,PR,Additives,Extenders,0.0,1,0.0,2.033333333333333,3,199
30484.0,_other_vendor,PR,Additives,_other_specific_type,0.0,0,0.0,3.3846153846153846,1,73
42556.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.7727272727272727,1,139
11068.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
11068.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.675,1,73
1210.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,20.0,2.6842105263157894,3,73
7314.875,vendorID_0106,PR,Packaging,Containers,0.0,0,0.0,28.96,8,38
6231.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.964912280701754,1,109
1107.8333333333333,_other_vendor,PR,Packaging,Containers,0.0,1,20.0,13.547619047619047,12,73
846.5,vendorID_0136,PR,Packaging,Labels,0.0,0,0.0,65.52127659574468,2,171
156.0,vendorID_0120,PR,Packaging,Labels,0.0,0,25.0,62.36666666666667,1,100
1694.3333333333333,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,20.0,3.4545454545454546,3,199
3310.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,0,20.0,2.375,1,100
1620.0,_other_vendor,PR,Packaging,Containers,1.0,0,20.0,2.0,2,65
26279.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,1.6590909090909092,1,199
7177.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,4.0,1,109
1808.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,20.0,1.0,1,109
652.875,vendorID_0136,PR,Packaging,Labels,0.0,1,20.0,57.19090909090909,8,232
3538.0,_other_vendor,PR,Additives,Extenders,2.0,0,0.0,1.7555555555555555,1,232
12500.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,0.0,1.3333333333333333,1,109
1323.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,5.17948717948718,1,100
305.0,vendorID_0136,PR,Packaging,Labels,0.0,1,20.0,57.11818181818182,1,232
316.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,13.261904761904765,2,72
138.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,0,0.0,1.0,1,38
8146.0,vendorID_0106,PR,Packaging,Containers,0.0,0,20.0,29.83333333333333,1,37
197.05555555555554,_other_vendor,PR,Packaging,Labels,0.0,0,20.0,49.07142857142857,18,100
721.6666666666666,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,66.74468085106383,3,72
3055.5,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,66.74468085106383,2,72
1224.2,vendorID_0104,PR,Packaging,Containers,0.0,1,20.0,66.74468085106383,5,72
360.5,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,26.98765432098765,18,198
544.4545454545455,_other_vendor,_NPR,Sales,Products for Resale,1.0,0,0.0,15.633802816901408,11,199
99.875,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,35.84146341463415,32,199
746.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.0625,1,198
151.6590909090909,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,45.20588235294117,44,198
206.66666666666666,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,5.28,3,199
250.64705882352942,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,40.10526315789474,17,37
120.23529411764706,_other_vendor,_NPR,Sales,Products for Resale,1.0,1,0.0,35.01515151515152,17,199
161.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,21.09090909090909,1,37
327.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,4.8125,4,199
2865.1666666666665,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,10.7,6,72
17878.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,3.2222222222222223,1,13
44998.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.0,1,100
1618.0,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,0,25.0,12.73913043478261,7,37
52836.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,1,14.285714285714285,3.0689655172413794,1,72
37438.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,1,12.5,3.2413793103448274,1,72
40337.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,1,14.285714285714285,3.0689655172413794,1,72
233.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,50.392857142857146,1,100
284.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,21.94117647058824,1,37
12447.0,_other_vendor,PR,Additives,Extenders,2.0,1,11.11111111111111,6.891891891891892,1,72
316.4,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,50.392857142857146,5,100
6443.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,2.6724137931034484,2,199
216.65,_other_vendor,PR,Packaging,Labels,0.0,1,20.0,12.026315789473683,20,100
308.25,_other_vendor,PR,Packaging,Labels,0.0,1,40.0,50.392857142857146,4,100
3932.0,vendorID_0106,PR,Packaging,Containers,0.0,0,0.0,29.791666666666668,1,37
1408.6666666666667,vendorID_0106,PR,Packaging,Containers,0.0,0,0.0,29.791666666666668,3,37
637.1428571428571,_other_vendor,_NPR,Sales,_other_specific_type,3.0,0,14.285714285714285,6.660377358490566,7,199
5709.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,1.0,1,72
7312.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.085714285714285,1,232
7532.0,_other_vendor,PR,Additives,_other_specific_type,0.0,0,0.0,2.0,1,100
1857.0,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,2.4545454545454546,1,72
476.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.076190476190476,1,232
850.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,5.46067415730337,1,171
2024.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,1.0,1,37
1916.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,8.842105263157896,2,171
698.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,16.818181818181817,5,199
11068.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,6.641025641025641,1,72
475.0,_other_vendor,_NPR,Sales,Products for Resale,1.0,0,40.0,16.763636363636362,1,199
1897.375,vendorID_0104,PR,Packaging,Containers,0.0,0,0.0,66.53191489361703,8,72
3774.0,_other_vendor,PR,Packaging,Containers,0.0,0,25.0,4.051948051948052,3,199
760.0,vendorID_0104,PR,Packaging,Containers,0.0,0,0.0,66.53191489361703,2,72
7080.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,0,0.0,1.0,1,37
1264.0,_other_vendor,PR,Packaging,_other_specific_type,0.0,1,20.0,2.64,1,100
186.0,_other_vendor,PR,Packaging,_other_specific_type,0.0,1,20.0,2.6,1,100
717.4,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,10.0,5,37
2454.5,_other_vendor,PR,Packaging,_other_specific_type,0.0,0,0.0,1.875,2,65
7170.0,vendorID_0171,PR,_other_product_type,_other_specific_type,0.0,0,0.0,19.05263157894737,1,30
3204.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,1.0833333333333333,1,72
5.0,vendorID_0171,PR,Additives,_other_specific_type,0.0,0,0.0,19.0,3,30
887.0,_other_vendor,PR,Packaging,Containers,1.0,1,16.666666666666664,3.976744186046512,1,108
5.666666666666667,vendorID_0171,PR,Additives,_other_specific_type,0.0,0,0.0,18.84210526315789,3,30
50.75,vendorID_0171,PR,_other_product_type,_other_specific_type,0.0,1,20.0,18.68421052631579,4,30
65.33333333333333,vendorID_0171,PR,_other_product_type,_other_specific_type,0.0,1,0.0,18.473684210526315,3,30
44.0,vendorID_0171,PR,Additives,_other_specific_type,0.0,0,25.0,18.31578947368421,2,30
11587.0,_other_vendor,PR,_other_product_type,_other_specific_type,1.0,0,50.0,3.111111111111111,2,13
3539.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,4.666666666666667,1,72
29167.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,4.641025641025641,1,72
4887.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,4.615384615384615,1,72
1733.0,_other_vendor,PR,Additives,Extenders,2.0,0,0.0,1.0,1,184
58.0,_other_vendor,PR,Packaging,Labels,2.0,0,28.57142857142857,49.274193548387096,1,128
22939.0,_other_vendor,PR,Additives,Extenders,4.0,0,0.0,1.3571428571428572,1,108
366.8695652173913,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,19.9375,23,58
15391.5,_other_vendor,PR,Additives,_other_specific_type,0.0,0,0.0,2.1052631578947367,2,99
2327.5,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,4.090909090909091,2,72
1893.5,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,2.953488372093023,4,99
3585.0,_other_vendor,PR,Additives,_other_specific_type,2.0,0,0.0,5.0,1,108
1207.5,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.923076923076923,2,72
4246.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,1,0.0,1.1538461538461535,1,58
10928.5,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,0.0,1.875,2,72
212.0,_other_vendor,PR,Packaging,Labels,0.0,0,25.0,11.8,3,99
2208.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.818181818181818,2,108
1580.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,1.0,1,58
4837.0,_other_vendor,PR,Packaging,Containers,1.0,0,20.0,3.4285714285714284,2,155
7575.0,_other_vendor,PR,Additives,_other_specific_type,0.0,0,25.0,1.0,1,170
1389.75,_other_vendor,PR,Packaging,Containers,2.0,0,0.0,8.326086956521738,4,320
5863.5,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,2.6944444444444446,4,108
16567.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,1.6363636363636365,1,56
521.0,_other_vendor,PR,Additives,_other_specific_type,0.0,0,25.0,1.75,1,232
2275.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,5.0,2,37
5371.666666666667,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,4.6,3,37
2479.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.761904761904762,1,72
294.75,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,4.0,4,37
3441.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,2.90625,1,72
1052.0,vendorID_0120,PR,Packaging,Labels,0.0,0,0.0,63.40677966101695,1,99
895.5,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,2.7450980392156863,4,231
1851.7272727272727,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,12.384615384615383,11,72
265.6666666666667,vendorID_0136,PR,Packaging,Labels,0.0,0,0.0,57.63302752293578,3,231
327.4,_other_vendor,PR,Packaging,Labels,0.0,0,25.0,5.157894736842105,5,72
139.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,5.769230769230769,2,64
672.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,5.769230769230769,1,64
667.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,8.866666666666667,1,198
943.1,_other_vendor,PR,Packaging,Labels,0.0,1,0.0,14.16,10,134
696.0,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.309859154929577,1,231
1044.5,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,5.66,2,108
1126.25,_other_vendor,PR,Packaging,Containers,0.0,1,20.0,6.0,4,57
1544.5,_other_vendor,PR,Packaging,Containers,3.0,1,12.5,7.855555555555555,8,324
2371.3333333333335,_other_vendor,PR,Packaging,Containers,2.0,0,0.0,6.871794871794871,3,71
1466.75,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,6.794871794871795,4,71
3324.0,_other_vendor,PR,Packaging,Containers,1.0,1,0.0,5.386363636363637,3,231
2442.5,_other_vendor,PR,Packaging,Containers,1.0,0,0.0,3.8333333333333335,2,107
122.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,2.0,2,57
1876.0,_other_vendor,PR,Additives,Extenders,0.0,0,0.0,2.8372093023255816,1,99
2826.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,1.25,1,37
135.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,5.40625,2,321
1069.5,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,1.6666666666666667,2,71
2805.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,1.0,1,99
478.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,2.5384615384615383,3,36
26230.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,20.0,1.6744186046511629,1,198
474.0,_other_vendor,PR,Packaging,Labels,0.0,0,25.0,6.228571428571429,1,198
1938.0,_other_vendor,PR,Packaging,_other_specific_type,0.0,0,0.0,2.3157894736842106,1,86
2402.5,_other_vendor,PR,Packaging,Containers,0.0,0,0.0,1.8611111111111112,2,231
2525.3333333333335,_other_vendor,PR,Packaging,_other_specific_type,0.0,0,0.0,3.8947368421052633,6,231
661.0,_other_vendor,PR,Packaging,_other_specific_type,1.0,0,20.0,1.0,1,36
164.5,_other_vendor,PR,Packaging,Labels,0.0,0,20.0,49.43636363636364,8,99
1465.5,vendorID_0106,PR,Packaging,Containers,0.0,0,20.0,30.91304347826087,4,36
99.33333333333333,_other_vendor,PR,Packaging,Labels,0.0,0,20.0,23.0,3,36
1393.2,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,67.6304347826087,5,71
4212.0,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,67.6304347826087,10,71
8160.5,vendorID_0104,PR,Packaging,Containers,0.0,0,20.0,67.6304347826087,2,71
6353.0,vendorID_0106,PR,Packaging,Containers,0.0,0,25.0,30.91304347826087,1,36
3777.6,vendorID_0104,PR,Packaging,Containers,0.0,1,20.0,67.6304347826087,5,71
217.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,14.402061855670103,9,197
412.4,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,40.0,4.833333333333333,5,57
448.2,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,26.77647058823529,10,198
435.5,_other_vendor,_NPR,_other_product_type,_other_specific_type,0.0,1,20.0,17.554054054054053,6,197
591.75,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,5.807692307692308,4,198
4091.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,7.5625,2,36
